
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.30000E-01    -13.5010    
  0.60000E-01    -27.0021    
  0.90000E-01    -40.5031    
  0.12000        -54.0042    
  0.15000        -67.5052    
  0.18000        -81.0063    
  0.21000        -94.5073    
  0.24000        -108.008    
  0.27000        -121.509    
  0.30000        -135.010    
  0.33000        -148.511    
  0.36000        -162.013    
  0.39000        -175.514    
  0.42000        -189.015    
  0.45000        -202.516    
  0.48000        -216.017    
  0.51000        -229.518    
  0.54000        -243.019    
  0.57000        -256.520    
  0.60000        -270.021    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.63000        -283.522    
  0.66000        -297.023    
  0.69000        -310.524    
  0.72000        -324.025    
  0.75000        -337.526    
  0.78000        -351.027    
  0.81000        -364.528    
  0.84000        -378.029    
  0.87000        -391.530    
  0.90000        -405.031    
  0.93000        -418.532    
  0.96000        -432.033    
  0.99000        -445.534    
   1.0200        -459.035    
   1.0500        -472.536    
   1.0800        -486.038    
   1.1100        -499.539    
   1.1400        -513.040    
   1.1700        -526.541    
   1.2000        -540.042    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   1.2300        -553.543    
   1.2600        -567.044    
   1.2900        -580.545    
   1.3200        -594.046    
   1.3500        -607.547    
   1.3800        -621.044    
   1.4100        -634.526    
   1.4400        -648.027    
   1.4700        -661.527    
   1.5000        -674.501    
   1.5300        -661.946    
   1.5600       -0.210598E-03
   1.5900        0.621774E-10
   1.6200        0.310392E-11
   1.6500        0.540738E-11
   1.6800       -0.249924E-11
   1.7100       -0.327863E-11
   1.7400       -0.444833E-11
   1.7700       -0.925599E-12
   1.8000        0.440496E-11

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   1.8300        0.130848E-11
   1.8600        0.147328E-11
   1.8900        0.380400E-11
   1.9200       -0.439876E-11
   1.9500       -0.790290E-11
   1.9800        0.408899E-13
   2.0100       -0.155010E-11
   2.0400        0.971445E-12
   2.0700       -0.112014E-11
   2.1000       -0.704793E-11
   2.1300        0.393906E-11
   2.1600       -0.451524E-11
   2.1900       -0.543216E-11
   2.2200       -0.309772E-13
   2.2500        0.893383E-12
   2.2800       -0.783599E-11
   2.3100       -0.685959E-11
   2.3400       -0.386596E-11
   2.3700       -0.708015E-11
   2.4000        0.968967E-12

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
   2.4300       -0.816311E-11
   2.4600       -0.140091E-10
   2.4900       -0.521160E-11
   2.5200       -0.224771E-11
   2.5500       -0.860918E-11
   2.5800       -0.155902E-10
   2.6100        0.801194E-11
   2.6400        0.333810E-11
   2.6700       -0.164055E-11
   2.7000       -0.562546E-11
   2.7300        0.197015E-11
   2.7600       -0.630448E-11
   2.7900       -0.892144E-12
   2.8200       -0.343971E-11
   2.8500        0.579893E-12
   2.8800        0.120365E-10
   2.9100       -0.247570E-11
   2.9400       -0.128865E-12
   2.9700       -0.156992E-10
   3.0000       -0.131715E-10
