
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       9342 FX      
                  FX      
  0.30000E-01    -34.8764    
  0.60000E-01    -69.7527    
  0.90000E-01    -104.629    
  0.12000        -139.505    
  0.15000        -174.382    
  0.18000        -209.258    
  0.21000        -244.135    
  0.24000        -279.011    
  0.27000        -313.887    
  0.30000        -348.764    
  0.33000        -383.640    
  0.36000        -418.516    
  0.39000        -453.393    
  0.42000        -488.210    
  0.45000        -523.053    
  0.48000        -557.857    
  0.51000        -592.723    
  0.54000        -627.589    
  0.57000        -662.448    
  0.60000        -697.271    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       9342 FX      
                  FX      
  0.63000        -732.093    
  0.66000        -766.859    
  0.69000        -801.642    
  0.72000        -836.415    
  0.75000        -871.184    
  0.78000        -905.868    
  0.81000        -940.572    
  0.84000        -975.139    
  0.87000        -1009.65    
  0.90000        -1044.07    
  0.93000        -1078.45    
  0.96000        -1112.91    
  0.99000        -1147.32    
   1.0200        -1181.81    
   1.0500        -1216.39    
   1.0800        -1251.06    
   1.1100        -1285.79    
   1.1400        -1320.54    
   1.1700        -1355.29    
   1.2000        -1390.04    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       9342 FX      
                  FX      
   1.2300        -1424.79    
   1.2600        -1459.55    
   1.2900        -1494.30    
   1.3200        -1529.03    
   1.3500        -1563.76    
   1.3800        -1598.46    
   1.4100        -1632.95    
   1.4400        -1663.37    
   1.4700        -278.266    
   1.5000        -8.40066    
   1.5300        -8.10995    
   1.5600        -8.04064    
   1.5900        -8.10501    
   1.6200        -8.22130    
   1.6500        -8.37355    
   1.6800        -8.52579    
   1.7100        -8.66621    
   1.7400        -8.81825    
   1.7700        -8.97029    
   1.8000        -9.10181    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       9342 FX      
                  FX      
   1.8300        -9.24008    
   1.8600        -9.36919    
   1.8900        -9.43847    
   1.9200        -9.55327    
   1.9500        -9.63849    
   1.9800        -9.67340    
   2.0100        -9.71432    
   2.0400        -9.77498    
   2.0700        -9.66830    
   2.1000        -9.66214    
   2.1300        -9.80017    
   2.1600        -9.93820    
   2.1900        -10.0762    
   2.2200        -10.2143    
   2.2500        -10.3523    
   2.2800        -10.4903    
   2.3100        -10.6284    
   2.3400        -10.7544    
   2.3700        -10.7788    
   2.4000        -10.7883    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       9342 FX      
                  FX      
   2.4300        -10.8492    
   2.4600        -10.9831    
   2.4900        -11.1112    
   2.5200        -11.2108    
   2.5500        -11.3432    
   2.5800        -11.4307    
   2.6100        -11.4269    
   2.6400        -11.3641    
   2.6700        -11.2756    
   2.7000        -11.1679    
   2.7300        -11.1883    
   2.7600        -11.0474    
   2.7900        -11.0958    
   2.8200        -11.0081    
   2.8500        -10.9630    
   2.8800        -11.0489    
   2.9100        -11.1157    
   2.9400        -11.2303    
   2.9700        -11.3360    
   3.0000        -11.3785    
