
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       7426 FX      
                  FX      
  0.30000E-01    -12.0676    
  0.60000E-01    -24.1352    
  0.90000E-01    -36.2027    
  0.12000        -48.2703    
  0.15000        -60.3379    
  0.18000        -72.4055    
  0.21000        -84.4500    
  0.24000        -96.4844    
  0.27000        -108.531    
  0.30000        -120.572    
  0.33000        -132.561    
  0.36000        -144.512    
  0.39000        -156.418    
  0.42000        -168.342    
  0.45000        -180.174    
  0.48000        -191.526    
  0.51000        -200.445    
  0.54000        -2.24405    
  0.57000        -1.27062    
  0.60000        -1.20539    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       7426 FX      
                  FX      
  0.63000        -1.22346    
  0.66000        -1.27214    
  0.69000        -1.32976    
  0.72000        -1.38757    
  0.75000        -1.44539    
  0.78000       -0.389999E-05
  0.81000        0.199364E-11
  0.84000        0.817300E-13
  0.87000        0.160073E-11
  0.90000        0.271526E-12
  0.93000        0.127030E-11
  0.96000        0.134515E-11
  0.99000        0.828971E-12
   1.0200        0.228735E-11
   1.0500       -0.648456E-11
   1.0800        0.696506E-11
   1.1100       -0.424193E-11
   1.1400       -0.272535E-11
   1.1700       -0.300956E-11
   1.2000        0.411495E-11

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       7426 FX      
                  FX      
   1.2300        0.612287E-12
   1.2600        0.363651E-12
   1.2900        0.447173E-11
   1.3200        0.193611E-12
   1.3500        0.476737E-12
   1.3800       -0.268213E-11
   1.4100        0.149346E-11
   1.4400        0.154917E-11
   1.4700       -0.534939E-13
   1.5000        0.302893E-11
   1.5300       -0.105995E-12
   1.5600        0.100141E-11
   1.5900        0.576035E-11
   1.6200        0.588300E-11
   1.6500       -0.127983E-11
   1.6800        0.520664E-11
   1.7100        0.209653E-11
   1.7400        0.414291E-11
   1.7700        0.189231E-11
   1.8000        0.293195E-12

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       7426 FX      
                  FX      
   1.8300        0.280789E-11
   1.8600       -0.456060E-12
   1.8900        0.442998E-11
   1.9200        0.470761E-11
   1.9500        0.169388E-12
   1.9800       -0.212058E-11
   2.0100        0.123949E-10
   2.0400       -0.840167E-11
   2.0700        0.109799E-11
   2.1000        0.944000E-12
   2.1300        0.443968E-11
   2.1600        0.286782E-11
   2.1900       -0.675530E-11
   2.2200       -0.509900E-11
   2.2500       -0.984691E-11
   2.2800       -0.165505E-10
   2.3100       -0.524331E-12
   2.3400        0.120242E-10
   2.3700        0.575233E-11
   2.4000        0.253248E-11

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       7426 FX      
                  FX      
   2.4300        0.708451E-11
   2.4600        0.100904E-10
   2.4900        0.725231E-11
   2.5200        0.963401E-12
   2.5500        0.702461E-11
   2.5800        0.569917E-11
   2.6100       -0.433227E-12
   2.6400        0.597856E-11
   2.6700       -0.241959E-11
   2.7000       -0.661056E-11
   2.7300       -0.267044E-11
   2.7600        0.130373E-10
   2.7900        0.889145E-11
   2.8200        0.767306E-11
   2.8500       -0.309312E-11
   2.8800        0.483317E-12
   2.9100       -0.164396E-12
   2.9400       -0.579788E-11
   2.9700       -0.434498E-11
   3.0000       -0.831697E-11
