
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
  0.20000E-01     40.7386    
  0.40000E-01     81.4771    
  0.60000E-01     122.216    
  0.80000E-01     162.954    
  0.10000         203.693    
  0.12000         244.431    
  0.14000         285.142    
  0.16000         325.737    
  0.18000         366.138    
  0.20000         406.440    
  0.22000         446.516    
  0.24000         486.377    
  0.26000         525.405    
  0.28000         561.998    
  0.30000         597.664    
  0.32000         632.592    
  0.34000         666.654    
  0.36000         700.252    
  0.38000         732.521    
  0.40000         763.700    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
  0.42000         791.984    
  0.44000         801.674    
  0.46000         773.297    
  0.48000         719.553    
  0.50000         711.029    
  0.52000         705.670    
  0.54000         704.903    
  0.56000         705.024    
  0.58000         695.983    
  0.60000         659.632    
  0.62000         565.586    
  0.64000         443.868    
  0.66000         394.908    
  0.68000         374.716    
  0.70000         344.653    
  0.72000         290.296    
  0.74000         289.619    
  0.76000         293.649    
  0.78000         300.359    
  0.80000         306.305    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
  0.82000         313.258    
  0.84000         320.557    
  0.86000         328.177    
  0.88000         335.608    
  0.90000         342.893    
  0.92000         350.445    
  0.94000         357.617    
  0.96000         365.146    
  0.98000         372.356    
   1.0000         379.495    
   1.0200         386.010    
   1.0400         392.215    
   1.0600         398.951    
   1.0800         405.619    
   1.1000         412.428    
   1.1200         419.603    
   1.1400         426.708    
   1.1600         433.664    
   1.1800         440.509    
   1.2000         446.849    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
   1.2200         452.108    
   1.2400         458.369    
   1.2600         464.821    
   1.2800         471.085    
   1.3000         477.276    
   1.3200         483.187    
   1.3400         489.345    
   1.3600         495.063    
   1.3800         499.479    
   1.4000         504.786    
   1.4200         509.376    
   1.4400         513.586    
   1.4600         517.611    
   1.4800         522.247    
   1.5000         524.780    
   1.5200         525.386    
   1.5400         527.142    
   1.5600         525.312    
   1.5800         526.936    
   1.6000         529.968    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
   1.6200         533.719    
   1.6400         538.743    
   1.6600         543.450    
   1.6800         548.274    
   1.7000         553.391    
   1.7200         558.967    
   1.7400         563.672    
   1.7600         566.289    
   1.7800         567.486    
   1.8000         566.376    
   1.8200         566.553    
   1.8400         567.577    
   1.8600         566.020    
   1.8800         567.352    
   1.9000         565.974    
   1.9200         569.998    
   1.9400         573.070    
   1.9600         576.291    
   1.9800         578.735    
   1.9900         580.930    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1132 FX      
                  FX      
   1.9950         581.497    
   1.9970         580.992    
   1.9985         573.293    
   2.0000         556.057    
