
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        488 FX      
                  FX      
  0.20000E-01     21.8480    
  0.40000E-01     43.6961    
  0.60000E-01     65.5441    
  0.80000E-01     87.3922    
  0.10000         109.240    
  0.12000         131.088    
  0.14000         152.936    
  0.16000         174.784    
  0.18000         196.613    
  0.20000         218.404    
  0.22000         240.154    
  0.24000         261.865    
  0.26000         283.508    
  0.28000         305.088    
  0.30000         326.547    
  0.32000         347.403    
  0.34000         368.309    
  0.36000         389.317    
  0.38000         409.337    
  0.40000         429.548    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        488 FX      
                  FX      
  0.42000         449.234    
  0.44000         468.559    
  0.46000         487.956    
  0.48000         507.109    
  0.50000         526.305    
  0.52000         545.432    
  0.54000         564.125    
  0.56000         581.289    
  0.58000         590.416    
  0.60000         591.819    
  0.62000         599.883    
  0.64000         608.574    
  0.66000         615.631    
  0.68000         622.605    
  0.70000         632.869    
  0.72000         644.304    
  0.74000         656.643    
  0.76000         668.703    
  0.78000         680.727    
  0.80000         692.441    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        488 FX      
                  FX      
  0.82000         704.147    
  0.84000         715.775    
  0.86000         727.673    
  0.88000         739.550    
  0.90000         750.668    
  0.92000         761.965    
  0.94000         772.106    
  0.96000         780.979    
  0.98000         789.677    
   1.0000         792.806    
   1.0200         730.034    
   1.0400         494.085    
   1.0600         409.711    
   1.0800         373.185    
   1.1000         275.694    
   1.1200         276.792    
   1.1400         280.522    
   1.1600         284.818    
   1.1800         289.054    
   1.2000         293.426    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        488 FX      
                  FX      
   1.2200         297.869    
   1.2400         302.323    
   1.2600         306.766    
   1.2800         311.163    
   1.3000         315.503    
   1.3200         320.023    
   1.3400         324.281    
   1.3600         328.143    
   1.3800         332.617    
   1.4000         337.028    
   1.4200         341.454    
   1.4400         345.841    
   1.4600         350.283    
   1.4800         354.684    
   1.5000         359.189    
   1.5200         363.568    
   1.5400         367.714    
   1.5600         371.489    
   1.5800         375.925    
   1.6000         380.266    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        488 FX      
                  FX      
   1.6200         384.688    
   1.6400         388.874    
   1.6600         392.887    
   1.6800         396.603    
   1.7000         399.647    
   1.7200         403.997    
   1.7400         408.365    
   1.7600         412.709    
   1.7800         417.197    
   1.8000         421.677    
   1.8200         426.029    
   1.8400         430.516    
   1.8600         434.992    
   1.8800         439.496    
   1.9000         443.977    
   1.9200         448.462    
   1.9400         452.751    
   1.9600         457.040    
   1.9800         460.755    
   2.0000         465.157    
