STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR  1469 FX        FX         20.63     0.2000E-01  740.0      1.000

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:14:40  OCT 02, 2021 CP=   4148.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1469 FX
                  FX
  0.20000E-01     20.6322
  0.40000E-01     41.2643
  0.60000E-01     61.8965
  0.80000E-01     82.5286
  0.10000         103.161
  0.12000         123.793
  0.14000         144.425
  0.16000         165.057
  0.18000         185.689
  0.20000         206.311
  0.22000         226.929
  0.24000         247.524
  0.26000         268.088
  0.28000         288.559
  0.30000         308.933
  0.32000         329.130
  0.34000         348.716
  0.36000         368.383
  0.38000         387.854
  0.40000         406.904
  0.42000         425.792
  0.44000         444.416
  0.46000         459.489
  0.48000         471.129
  0.50000         483.568
  0.52000         495.311
  0.54000         506.844
  0.56000         518.942
  0.58000         531.952
  0.60000         544.985
  0.62000         557.542
  0.64000         568.827
  0.66000         580.533
  0.68000         591.978
  0.70000         602.881
  0.72000         613.754
  0.74000         624.689
  0.76000         635.073
  0.78000         644.885
  0.80000         654.217
  0.82000         663.001
  0.84000         672.595
  0.86000         681.023
  0.88000         690.137
  0.90000         699.229
  0.92000         708.206
  0.94000         717.021
  0.96000         725.655
  0.98000         734.003
   1.0000         740.018

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:14:40  OCT 02, 2021 CP=   4148.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1469 FX
                  FX
   1.0200         733.712
   1.0400         583.973
   1.0600         314.836
   1.0800         160.600
   1.1000         138.168
   1.1200         135.937
   1.1400         135.723
   1.1600         134.860
   1.1800         131.966
   1.2000         126.399
   1.2200         115.429
   1.2400         87.9131
   1.2600         79.3688
   1.2800         75.9869
   1.3000         76.1593
   1.3200         76.1814
   1.3400         75.6730
   1.3600         76.4153
   1.3800         77.3806
   1.4000         78.3371
   1.4200         78.9891
   1.4400         79.9153
   1.4600         80.9446
   1.4800         81.9796
   1.5000         83.0122
   1.5200         84.0724
   1.5400         85.0072
   1.5600         85.9820
   1.5800         87.0561
   1.6000         88.1068
   1.6200         89.1268
   1.6400         90.1363
   1.6600         91.1197
   1.6800         92.0962
   1.7000         92.9846
   1.7200         93.6511
   1.7400         94.5146
   1.7600         95.3629
   1.7800         96.0476
   1.8000         96.8202
   1.8200         97.5172
   1.8400         98.4342
   1.8600         99.3812
   1.8800         100.094
   1.9000         100.703
   1.9200         101.530
   1.9400         102.351
   1.9600         103.223
   1.9800         104.178
   1.9900         104.677

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   01:14:40  OCT 02, 2021 CP=   4148.953

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1469 FX
                  FX
   1.9950         104.883
   1.9970         104.863
   1.9985         103.989
   2.0000         103.504
