
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.30000E-01    -34.2436    
  0.60000E-01    -68.4871    
  0.90000E-01    -102.731    
  0.12000        -136.974    
  0.15000        -171.218    
  0.18000        -205.461    
  0.21000        -239.705    
  0.24000        -273.946    
  0.27000        -308.141    
  0.30000        -342.253    
  0.33000        -376.273    
  0.36000        -410.201    
  0.39000        -444.035    
  0.42000        -477.782    
  0.45000        -511.278    
  0.48000        -544.192    
  0.51000        -574.943    
  0.54000        -601.481    
  0.57000        -626.360    
  0.60000        -650.080    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
  0.63000        -667.957    
  0.66000        -674.050    
  0.69000        -648.056    
  0.72000        -493.011    
  0.75000        -234.428    
  0.78000        -27.5055    
  0.81000        -19.3940    
  0.84000        -17.8075    
  0.87000        -15.9972    
  0.90000        -15.0342    
  0.93000        -14.3576    
  0.96000        -13.9258    
  0.99000        -13.7964    
   1.0200        -13.6728    
   1.0500        -13.5607    
   1.0800        -13.3900    
   1.1100        -13.0055    
   1.1400        -12.9851    
   1.1700        -12.8763    
   1.2000        -12.7125    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.2300        -12.4232    
   1.2600        -12.2057    
   1.2900        -12.0926    
   1.3200        -11.9410    
   1.3500        -11.5975    
   1.3800        -11.4029    
   1.4100        -11.4263    
   1.4400        -10.9359    
   1.4700        -10.4020    
   1.5000        -10.4869    
   1.5300        -10.6137    
   1.5600        -10.7662    
   1.5900        -10.8790    
   1.6200        -10.9909    
   1.6500        -11.1415    
   1.6800        -11.2699    
   1.7100        -11.4043    
   1.7400        -11.5743    
   1.7700        -11.6891    
   1.8000        -11.6041    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   1.8300        -11.7383    
   1.8600        -11.9267    
   1.8900        -12.0205    
   1.9200        -12.1949    
   1.9500        -12.3829    
   1.9800        -12.5575    
   2.0100        -12.7272    
   2.0400        -12.9171    
   2.0700        -13.1065    
   2.1000        -13.2962    
   2.1300        -13.4829    
   2.1600        -13.6715    
   2.1900        -13.8485    
   2.2200        -13.7109    
   2.2500        -13.6183    
   2.2800        -13.7314    
   2.3100        -13.8197    
   2.3400        -13.8965    
   2.3700        -13.9810    
   2.4000        -14.0741    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   2.4300        -14.0759    
   2.4600        -14.0151    
   2.4900        -13.9310    
   2.5200        -14.0948    
   2.5500        -14.2607    
   2.5800        -14.3369    
   2.6100        -14.5011    
   2.6400        -14.6655    
   2.6700        -14.8294    
   2.7000        -14.9876    
   2.7300        -15.1501    
   2.7600        -15.2709    
   2.7900        -15.4243    
   2.8200        -15.5464    
   2.8500        -15.6661    
   2.8800        -15.6249    
   2.9100        -15.6801    
   2.9400        -15.6143    
   2.9700        -15.6686    
   2.9850        -15.7487    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        598 FX      
                  FX      
   2.9925        -15.7867    
   2.9955        -15.8008    
   2.9977        -15.7998    
   3.0000        -15.8114    
