
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.30000E-01    -44.7292    
  0.60000E-01    -89.4585    
  0.90000E-01    -134.188    
  0.12000        -178.917    
  0.15000        -223.646    
  0.18000        -268.314    
  0.21000        -312.887    
  0.24000        -357.147    
  0.27000        -401.034    
  0.30000        -444.550    
  0.33000        -487.340    
  0.36000        -529.587    
  0.39000        -570.703    
  0.42000        -610.076    
  0.45000        -647.782    
  0.48000        -681.821    
  0.51000        -713.218    
  0.54000        -741.062    
  0.57000        -745.188    
  0.60000        -721.825    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
  0.63000        -677.966    
  0.66000        -605.193    
  0.69000        -487.245    
  0.72000        -225.033    
  0.75000        -46.7571    
  0.78000        -41.3100    
  0.81000        -36.7740    
  0.84000        -36.0412    
  0.87000        -35.3419    
  0.90000        -35.3508    
  0.93000        -35.9143    
  0.96000        -36.5560    
  0.99000        -37.2867    
   1.0200        -37.7501    
   1.0500        -37.9915    
   1.0800        -38.5447    
   1.1100        -39.1391    
   1.1400        -39.5833    
   1.1700        -40.2724    
   1.2000        -40.9809    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
   1.2300        -41.8279    
   1.2600        -42.4948    
   1.2900        -42.8693    
   1.3200        -43.5032    
   1.3500        -44.0061    
   1.3800        -44.8293    
   1.4100        -45.5044    
   1.4400        -46.0812    
   1.4700        -46.7462    
   1.5000        -47.4481    
   1.5300        -48.1670    
   1.5600        -48.8621    
   1.5900        -49.7303    
   1.6200        -50.4306    
   1.6500        -51.3094    
   1.6800        -52.1697    
   1.7100        -52.5792    
   1.7400        -53.4453    
   1.7700        -54.3316    
   1.8000        -55.1591    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
   1.8300        -55.9338    
   1.8600        -56.7568    
   1.8900        -57.6179    
   1.9200        -58.4409    
   1.9500        -59.3082    
   1.9800        -60.1708    
   2.0100        -60.6834    
   2.0400        -61.2125    
   2.0700        -61.8981    
   2.1000        -62.3915    
   2.1300        -62.5271    
   2.1600        -62.4498    
   2.1900        -62.3456    
   2.2200        -62.8282    
   2.2500        -63.4739    
   2.2800        -64.1801    
   2.3100        -64.8598    
   2.3400        -65.3655    
   2.3700        -65.9718    
   2.4000        -66.5539    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1943 FX      
                  FX      
   2.4300        -67.1030    
   2.4600        -67.7990    
   2.4900        -68.4874    
   2.5200        -69.2184    
   2.5500        -69.9265    
   2.5800        -70.6888    
   2.6100        -71.4645    
   2.6400        -72.2070    
   2.6700        -72.9406    
   2.7000        -73.6442    
   2.7300        -74.3698    
   2.7600        -72.4899    
   2.7900        -45.7811    
   2.8200        -33.5429    
   2.8500        -31.3561    
   2.8800        -31.2532    
   2.9100        -31.4990    
   2.9400        -31.7904    
   2.9700        -32.0934    
   3.0000        -32.4132    
