
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -31.2132    
  0.20000E-01    -48.3675    
  0.30000E-01    -72.5513    
  0.40000E-01    -96.7351    
  0.50000E-01    -120.919    
  0.60000E-01    -145.103    
  0.70000E-01    -169.286    
  0.80000E-01    -193.470    
  0.90000E-01    -217.654    
  0.10000        -241.838       
  0.11000        -266.021    
  0.12000        -290.205    
  0.13000        -314.389    
  0.14000        -338.573    
  0.15000        -362.756    
  0.16000        -386.940    
  0.17000        -411.124    
  0.18000        -435.308    
  0.19000        -459.492    
  0.20000        -483.675    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -507.859    
  0.22000        -532.043    
  0.23000        -556.227    
  0.24000        -580.410    
  0.25000        -604.594    
  0.26000        -628.778    
  0.27000        -652.962    
  0.28000        -677.145    
  0.29000        -701.329    
  0.30000        -725.513    
  0.31000        -749.697    
  0.32000        -773.880    
  0.33000        -798.064    
  0.34000        -822.248    
  0.35000        -846.432    
  0.36000        -870.616    
  0.37000        -894.799    
  0.38000        -918.983    
  0.39000        -943.167    
  0.40000        -967.351    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -991.534    
  0.42000        -1015.72    
  0.43000        -1039.90    
  0.44000        -1064.09    
  0.45000        -1088.27    
  0.46000        -1112.45    
  0.47000        -1136.64    
  0.48000        -1160.82    
  0.49000        -1185.00    
  0.50000        -1209.19    
  0.51000        -1233.37    
  0.52000        -1257.56    
  0.53000        -1281.74    
  0.54000        -1305.92    
  0.55000        -1330.11    
  0.56000        -1354.29    
  0.57000        -1378.47    
  0.58000        -1402.66    
  0.59000        -1426.84    
  0.60000        -1451.03    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -1475.21    
  0.62000        -1499.39    
  0.63000        -1523.58    
  0.64000        -1547.76    
  0.65000        -1571.94    
  0.66000        -1596.13    
  0.67000        -1620.31    
  0.68000        -1644.50    
  0.69000        -1668.68    
  0.70000        -1692.86    
  0.71000        -1717.05    
  0.72000        -1741.23    
  0.73000        -1765.41    
  0.74000        -1789.60    
  0.75000        -1813.78    
  0.76000        -1837.97    
  0.77000        -1862.15    
  0.78000        -1886.33    
  0.79000        -1910.52    
  0.80000        -1934.70    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -1958.89    
  0.82000        -1983.07    
  0.83000        -2007.25    
  0.84000        -2031.44    
  0.85000        -2055.62    
  0.86000        -2079.80    
  0.87000        -2103.99    
  0.88000        -2128.17    
  0.89000        -2152.36    
  0.90000        -2176.54    
  0.91000        -2200.72    
  0.92000        -2224.91    
  0.93000        -2249.09    
  0.94000        -2273.27    
  0.95000        -2297.46    
  0.96000        -2321.64    
  0.97000        -2345.83    
  0.98000        -2370.01    
  0.99000        -2394.19    
   1.0000        -2418.38    
