
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -34.8714    
  0.20000E-01    -69.7428    
  0.30000E-01    -104.614    
  0.40000E-01    -139.486    
  0.50000E-01    -174.357    
  0.60000E-01    -209.228    
  0.70000E-01    -244.100    
  0.80000E-01    -278.971    
  0.90000E-01    -313.842    
  0.10000        -348.709    
  0.11000        -383.568    
  0.12000        -418.421    
  0.13000        -453.271    
  0.14000        -488.083    
  0.15000        -522.884    
  0.16000        -557.639    
  0.17000        -591.722    
  0.18000        -626.291    
  0.19000        -659.504    
  0.20000        -693.918    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -728.220    
  0.22000        -762.514    
  0.23000        -796.907    
  0.24000        -831.056    
  0.25000        -864.682    
  0.26000        -897.085    
  0.27000        -930.453    
  0.28000        -962.312    
  0.29000        -996.222    
  0.30000        -1028.45    
  0.31000        -1059.77    
  0.32000        -1091.42    
  0.33000        -1124.52    
  0.34000        -1156.49    
  0.35000        -1188.01    
  0.36000        -1218.19    
  0.37000        -1249.52    
  0.38000        -1279.26    
  0.39000        -1311.19    
  0.40000        -1343.42    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -1374.31    
  0.42000        -1401.45    
  0.43000        -1425.78    
  0.44000        -1446.79    
  0.45000        -1466.96    
  0.46000        -1487.36    
  0.47000        -1515.44    
  0.48000        -1544.34    
  0.49000        -1571.92    
  0.50000        -1600.35    
  0.51000        -1627.34    
  0.52000        -1654.21    
  0.53000        -1680.48    
  0.54000        -1706.25    
  0.55000        -1721.21    
  0.56000        -1721.13    
  0.57000        -1723.24    
  0.58000        -1728.24    
  0.59000        -1736.37    
  0.60000        -1754.18    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -1779.95    
  0.62000        -1807.55    
  0.63000        -1835.94    
  0.64000        -1864.43    
  0.65000        -1893.02    
  0.66000        -1921.63    
  0.67000        -1950.32    
  0.68000        -1979.00    
  0.69000        -2007.66    
  0.70000        -2036.45    
  0.71000        -2065.28    
  0.72000        -2093.99    
  0.73000        -2122.75    
  0.74000        -2151.39    
  0.75000        -2179.50    
  0.76000        -2206.28    
  0.77000        -2227.93    
  0.78000        -2228.37    
  0.79000        -2179.27    
  0.80000        -2158.95    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -2157.41    
  0.82000        -2032.47    
  0.83000        -1512.91    
  0.84000        -45.9659    
  0.85000        -24.6575    
  0.86000        -21.4960    
  0.87000        -21.3318    
  0.88000        -21.4777    
  0.89000        -21.6550    
  0.90000        -21.8921    
  0.91000        -22.1304    
  0.92000        -22.3445    
  0.93000        -22.5873    
  0.94000        -22.8302    
  0.95000        -23.0731    
  0.96000        -23.3159    
  0.97000        -23.5586    
  0.98000        -23.8014    
  0.99000        -24.0443    
   1.0000        -24.0473    
