
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -40.3527    
  0.20000E-01    -80.7055    
  0.30000E-01    -121.058    
  0.40000E-01    -161.411    
  0.50000E-01    -201.763    
  0.60000E-01    -242.114    
  0.70000E-01    -282.462    
  0.80000E-01    -322.805    
  0.90000E-01    -363.135    
  0.10000        -403.440    
  0.11000        -443.665    
  0.12000        -483.673    
  0.13000        -523.505    
  0.14000        -563.300    
  0.15000        -602.847    
  0.16000        -642.349    
  0.17000        -681.529    
  0.18000        -720.506    
  0.19000        -759.344    
  0.20000        -798.016    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -836.400    
  0.22000        -874.565    
  0.23000        -912.462    
  0.24000        -949.968    
  0.25000        -987.223    
  0.26000        -1023.89    
  0.27000        -1060.18    
  0.28000        -1095.74    
  0.29000        -1130.68    
  0.30000        -1164.88    
  0.31000        -1198.30    
  0.32000        -1230.70    
  0.33000        -1262.35    
  0.34000        -1293.78    
  0.35000        -1324.79    
  0.36000        -1355.44    
  0.37000        -1385.37    
  0.38000        -1414.22    
  0.39000        -1442.69    
  0.40000        -1470.90    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -1498.38    
  0.42000        -1524.70    
  0.43000        -1548.63    
  0.44000        -1568.88    
  0.45000        -1587.21    
  0.46000        -1607.05    
  0.47000        -1628.40    
  0.48000        -1649.58    
  0.49000        -1669.94    
  0.50000        -1689.57    
  0.51000        -1709.94    
  0.52000        -1731.79    
  0.53000        -1754.73    
  0.54000        -1776.72    
  0.55000        -1799.82    
  0.56000        -1824.53    
  0.57000        -1850.85    
  0.58000        -1878.54    
  0.59000        -1906.67    
  0.60000        -1935.24    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -1964.35    
  0.62000        -1993.86    
  0.63000        -2024.09    
  0.64000        -2054.83    
  0.65000        -2085.88    
  0.66000        -2117.16    
  0.67000        -2148.49    
  0.68000        -2179.92    
  0.69000        -2211.36    
  0.70000        -2242.70    
  0.71000        -2273.78    
  0.72000        -2304.88    
  0.73000        -2335.88    
  0.74000        -2366.85    
  0.75000        -2397.80    
  0.76000        -2428.80    
  0.77000        -2459.81    
  0.78000        -2490.73    
  0.79000        -2521.75    
  0.80000        -2552.80    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -2583.89    
  0.82000        -2614.95    
  0.83000        -2645.86    
  0.84000        -2676.67    
  0.85000        -2706.81    
  0.86000        -2734.11    
  0.87000        -2750.58    
  0.88000        -2700.30    
  0.89000        -2608.89    
  0.90000        -2591.09    
  0.91000        -2470.18    
  0.92000        -2038.13    
  0.93000        -430.163    
  0.94000        -118.722    
  0.95000        -92.9705    
  0.96000        -81.6980    
  0.97000        -77.8033    
  0.98000        -74.6183    
  0.99000        -72.5596    
   1.0000        -61.3443    
