
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -34.6334    
  0.20000E-01    -69.2668    
  0.30000E-01    -103.900    
  0.40000E-01    -138.534    
  0.50000E-01    -173.167    
  0.60000E-01    -207.800    
  0.70000E-01    -242.432    
  0.80000E-01    -277.063    
  0.90000E-01    -311.692    
  0.10000        -346.314    
  0.11000        -380.923    
  0.12000        -415.470    
  0.13000        -449.925    
  0.14000        -484.344    
  0.15000        -518.728    
  0.16000        -553.059    
  0.17000        -587.307    
  0.18000        -621.505    
  0.19000        -655.647    
  0.20000        -689.739    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -723.707    
  0.22000        -757.643    
  0.23000        -791.524    
  0.24000        -825.262    
  0.25000        -858.898    
  0.26000        -892.482    
  0.27000        -925.889    
  0.28000        -959.170    
  0.29000        -992.389    
  0.30000        -1025.40    
  0.31000        -1058.14    
  0.32000        -1090.72    
  0.33000        -1122.29    
  0.34000        -1152.57    
  0.35000        -1183.91    
  0.36000        -1215.80    
  0.37000        -1247.58    
  0.38000        -1279.30    
  0.39000        -1310.81    
  0.40000        -1342.02    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -1372.88    
  0.42000        -1403.35    
  0.43000        -1433.57    
  0.44000        -1463.49    
  0.45000        -1492.79    
  0.46000        -1520.94    
  0.47000        -1547.73    
  0.48000        -1573.87    
  0.49000        -1599.64    
  0.50000        -1624.62    
  0.51000        -1647.19    
  0.52000        -1667.10    
  0.53000        -1686.86    
  0.54000        -1704.36    
  0.55000        -1720.26    
  0.56000        -1732.64    
  0.57000        -1733.10    
  0.58000        -1722.69    
  0.59000        -1744.74    
  0.60000        -1771.87    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -1799.88    
  0.62000        -1828.43    
  0.63000        -1857.35    
  0.64000        -1886.47    
  0.65000        -1915.63    
  0.66000        -1944.85    
  0.67000        -1974.09    
  0.68000        -2003.30    
  0.69000        -2032.52    
  0.70000        -2061.59    
  0.71000        -2090.71    
  0.72000        -2119.82    
  0.73000        -2148.88    
  0.74000        -2177.90    
  0.75000        -2206.85    
  0.76000        -2235.78    
  0.77000        -2264.65    
  0.78000        -2293.57    
  0.79000        -2322.53    
  0.80000        -2351.41    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -2380.22    
  0.82000        -2408.97    
  0.83000        -2437.74    
  0.84000        -2466.32    
  0.85000        -2493.97    
  0.86000        -2517.41    
  0.87000        -2518.23    
  0.88000        -2442.14    
  0.89000        -2304.94    
  0.90000        -1875.97    
  0.91000        -113.815    
  0.92000        -47.5249    
  0.93000        -42.4639    
  0.94000        -40.7762    
  0.95000        -39.6978    
  0.96000        -39.2303    
  0.97000        -39.0074    
  0.98000        -39.0069    
  0.99000        -38.6595    
  0.99500        -38.7760    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.99750        -38.7675    
  0.99850        -38.6786    
  0.99925        -37.5538    
   1.0000        -37.0430    
