
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -23.6689    
  0.20000E-01    -47.3378    
  0.30000E-01    -71.0068    
  0.40000E-01    -94.6757    
  0.50000E-01    -118.345    
  0.60000E-01    -142.005    
  0.70000E-01    -165.669    
  0.80000E-01    -189.301    
  0.90000E-01    -212.894    
  0.10000        -236.364    
  0.11000        -259.805    
  0.12000        -283.135    
  0.13000        -306.515    
  0.14000        -329.915    
  0.15000        -353.289    
  0.16000        -376.383    
  0.17000        -398.823    
  0.18000        -420.997    
  0.19000        -441.391    
  0.20000        -461.315    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -481.913    
  0.22000        -501.774    
  0.23000        -519.953    
  0.24000        -535.881    
  0.25000        -548.017    
  0.26000        -553.055    
  0.27000        -549.872    
  0.28000        -541.660    
  0.29000        -541.566    
  0.30000        -537.869    
  0.31000        -536.855    
  0.32000        -541.191    
  0.33000        -546.333    
  0.34000        -549.582    
  0.35000        -555.352    
  0.36000        -560.205    
  0.37000        -566.205    
  0.38000        -573.462    
  0.39000        -580.188    
  0.40000        -584.352    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -585.521    
  0.42000        -586.942    
  0.43000        -590.037    
  0.44000        -591.401    
  0.45000        -596.424    
  0.46000        -602.395    
  0.47000        -608.936    
  0.48000        -614.044    
  0.49000        -620.773    
  0.50000        -627.231    
  0.51000        -632.163    
  0.52000        -637.195    
  0.53000        -642.676    
  0.54000        -645.515    
  0.55000        -649.195    
  0.56000        -650.620    
  0.57000        -654.800    
  0.58000        -662.005    
  0.59000        -668.935    
  0.60000        -675.720    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -681.344    
  0.62000        -687.330    
  0.63000        -692.664    
  0.64000        -696.858    
  0.65000        -702.670    
  0.66000        -709.434    
  0.67000        -716.050    
  0.68000        -722.844    
  0.69000        -730.101    
  0.70000        -736.611    
  0.71000        -743.072    
  0.72000        -748.157    
  0.73000        -753.755    
  0.74000        -759.836    
  0.75000        -766.667    
  0.76000        -773.232    
  0.77000        -779.077    
  0.78000        -784.893    
  0.79000        -790.321    
  0.80000        -796.213    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -803.016    
  0.82000        -810.476    
  0.83000        -817.623    
  0.84000        -825.200    
  0.85000        -832.940    
  0.86000        -841.213    
  0.87000        -849.151    
  0.88000        -857.814    
  0.89000        -866.611    
  0.90000        -875.367    
  0.91000        -884.343    
  0.92000        -893.136    
  0.93000        -901.705    
  0.94000        -907.462    
  0.95000        -896.026    
  0.96000        -799.257    
  0.97000        -702.896    
  0.98000        -625.275    
  0.99000        -322.483    
  0.99500        -297.133    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.99750        -275.167    
  0.99850        -257.615    
  0.99925        -223.960    
   1.0000        -214.941    
