
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -52.1891    
  0.20000E-01    -104.378    
  0.30000E-01    -156.567    
  0.40000E-01    -208.757    
  0.50000E-01    -260.940    
  0.60000E-01    -313.050    
  0.70000E-01    -365.134    
  0.80000E-01    -417.076    
  0.90000E-01    -468.406    
  0.10000        -518.979    
  0.11000        -567.779    
  0.12000        -615.885    
  0.13000        -662.734    
  0.14000        -708.737    
  0.15000        -753.174    
  0.16000        -795.393    
  0.17000        -836.858    
  0.18000        -876.625    
  0.19000        -914.136    
  0.20000        -949.496    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -959.035    
  0.22000        -914.720    
  0.23000        -814.276    
  0.24000        -694.569    
  0.25000        -362.693    
  0.26000        -357.153    
  0.27000        -367.047    
  0.28000        -379.216    
  0.29000        -391.877    
  0.30000        -405.133    
  0.31000        -418.352    
  0.32000        -431.569    
  0.33000        -444.709    
  0.34000        -457.587    
  0.35000        -470.444    
  0.36000        -482.901    
  0.37000        -494.937    
  0.38000        -506.238    
  0.39000        -518.083    
  0.40000        -529.669    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -541.396    
  0.42000        -553.325    
  0.43000        -565.005    
  0.44000        -577.150    
  0.45000        -589.026    
  0.46000        -600.069    
  0.47000        -610.626    
  0.48000        -621.330    
  0.49000        -632.256    
  0.50000        -643.562    
  0.51000        -654.467    
  0.52000        -664.641    
  0.53000        -674.404    
  0.54000        -682.154    
  0.55000        -689.012    
  0.56000        -697.131    
  0.57000        -702.229    
  0.58000        -710.483    
  0.59000        -719.919    
  0.60000        -728.391    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -737.225    
  0.62000        -747.082    
  0.63000        -755.907    
  0.64000        -765.579    
  0.65000        -771.218    
  0.66000        -774.668    
  0.67000        -778.210    
  0.68000        -782.996    
  0.69000        -786.206    
  0.70000        -788.821    
  0.71000        -792.591    
  0.72000        -796.629    
  0.73000        -795.874    
  0.74000        -794.792    
  0.75000        -796.246    
  0.76000        -799.337    
  0.77000        -803.332    
  0.78000        -804.326    
  0.79000        -799.630    
  0.80000        -800.799    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -803.575    
  0.82000        -801.128    
  0.83000        -787.223    
  0.84000        -777.248    
  0.85000        -755.522    
  0.86000        -730.896    
  0.87000        -720.536    
  0.88000        -695.575    
  0.89000        -684.111    
  0.90000        -686.590    
  0.91000        -688.941    
  0.92000        -692.185    
  0.93000        -696.445    
  0.94000        -701.054    
  0.95000        -705.369    
  0.96000        -709.160    
  0.97000        -711.090    
  0.98000        -712.944    
  0.99000        -715.008    
  0.99500        -717.649    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -718.299    
  0.99850        -717.745    
  0.99925        -712.729    
   1.0000        -711.387    
