***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -25.4907    
  0.20000E-01    -50.9815    
  0.30000E-01    -76.4722    
  0.40000E-01    -101.963    
  0.50000E-01    -127.454    
  0.60000E-01    -152.944    
  0.70000E-01    -178.435    
  0.80000E-01    -203.926    
  0.90000E-01    -229.417    
  0.10000        -254.907    
  0.11000        -280.386    
  0.12000        -305.827    
  0.13000        -331.267    
  0.14000        -356.645    
  0.15000        -381.928    
  0.16000        -407.093    
  0.17000        -431.543    
  0.18000        -455.603    
  0.19000        -478.664    
  0.20000        -501.186    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -523.466    
  0.22000        -545.610    
  0.23000        -567.592    
  0.24000        -588.963    
  0.25000        -610.189    
  0.26000        -630.768    
  0.27000        -651.161    
  0.28000        -670.848    
  0.29000        -689.961    
  0.30000        -708.703    
  0.31000        -725.817    
  0.32000        -732.606    
  0.33000        -720.500    
  0.34000        -694.138    
  0.35000        -666.459    
  0.36000        -642.203    
  0.37000        -621.026    
  0.38000        -591.265    
  0.39000        -539.878    
  0.40000        -448.230    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -257.024    
  0.42000        -257.451    
  0.43000        -260.343    
  0.44000        -264.185    
  0.45000        -268.933    
  0.46000        -273.927    
  0.47000        -277.683    
  0.48000        -281.107    
  0.49000        -286.168    
  0.50000        -291.291    
  0.51000        -296.445    
  0.52000        -301.739    
  0.53000        -306.695    
  0.54000        -311.772    
  0.55000        -316.994    
  0.56000        -322.296    
  0.57000        -327.487    
  0.58000        -332.820    
  0.59000        -337.657    
  0.60000        -342.461    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -347.996    
  0.62000        -353.523    
  0.63000        -359.041    
  0.64000        -364.463    
  0.65000        -369.833    
  0.66000        -375.236    
  0.67000        -380.691    
  0.68000        -386.094    
  0.69000        -391.416    
  0.70000        -396.801    
  0.71000        -402.123    
  0.72000        -407.436    
  0.73000        -412.821    
  0.74000        -418.150    
  0.75000        -423.462    
  0.76000        -428.424    
  0.77000        -433.335    
  0.78000        -438.444    
  0.79000        -443.605    
  0.80000        -448.660    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -453.528    
  0.82000        -457.838    
  0.83000        -460.965    
  0.84000        -463.445    
  0.85000        -464.019    
  0.86000        -464.358    
  0.87000        -466.459    
  0.88000        -468.916    
  0.89000        -471.667    
  0.90000        -474.043    
  0.91000        -477.007    
  0.92000        -480.667    
  0.93000        -484.189    
  0.94000        -487.258    
  0.95000        -490.584    
  0.96000        -493.805    
  0.97000        -496.919    
  0.98000        -498.885    
  0.99000        -501.992    
  0.99500        -503.825    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -504.224    
  0.99850        -503.733    
  0.99925        -499.684    
   1.0000        -494.781    
