 ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -24.3210    
  0.20000E-01    -48.6421    
  0.30000E-01    -72.9631    
  0.40000E-01    -97.2842    
  0.50000E-01    -121.605    
  0.60000E-01    -145.926    
  0.70000E-01    -170.247    
  0.80000E-01    -194.568    
  0.90000E-01    -218.889    
  0.10000        -243.210    
  0.11000        -267.532    
  0.12000        -291.844    
  0.13000        -316.145    
  0.14000        -340.424    
  0.15000        -364.651    
  0.16000        -388.815    
  0.17000        -412.256    
  0.18000        -435.357    
  0.19000        -457.496    
  0.20000        -479.095    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -500.430    
  0.22000        -521.655    
  0.23000        -542.382    
  0.24000        -562.824    
  0.25000        -582.723    
  0.26000        -601.998    
  0.27000        -620.573    
  0.28000        -638.657    
  0.29000        -655.956    
  0.30000        -673.628    
  0.31000        -691.045    
  0.32000        -706.641    
  0.33000        -717.348    
  0.34000        -715.382    
  0.35000        -701.050    
  0.36000        -684.194    
  0.37000        -665.912    
  0.38000        -643.331    
  0.39000        -619.042    
  0.40000        -576.715    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -508.434    
  0.42000        -293.796    
  0.43000        -249.367    
  0.44000        -245.998    
  0.45000        -247.057    
  0.46000        -249.504    
  0.47000        -253.612    
  0.48000        -258.576    
  0.49000        -263.606    
  0.50000        -268.857    
  0.51000        -274.009    
  0.52000        -279.100    
  0.53000        -284.284    
  0.54000        -289.414    
  0.55000        -294.592    
  0.56000        -299.706    
  0.57000        -304.681    
  0.58000        -309.536    
  0.59000        -314.042    
  0.60000        -318.638    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -323.297    
  0.62000        -327.710    
  0.63000        -330.928    
  0.64000        -335.111    
  0.65000        -340.105    
  0.66000        -345.033    
  0.67000        -349.977    
  0.68000        -354.620    
  0.69000        -357.857    
  0.70000        -362.501    
  0.71000        -367.270    
  0.72000        -372.212    
  0.73000        -377.173    
  0.74000        -382.110    
  0.75000        -387.074    
  0.76000        -391.982    
  0.77000        -396.796    
  0.78000        -401.713    
  0.79000        -406.602    
  0.80000        -411.514    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -416.386    
  0.82000        -421.151    
  0.83000        -425.889    
  0.84000        -430.362    
  0.85000        -434.962    
  0.86000        -439.201    
  0.87000        -441.741    
  0.88000        -445.430    
  0.89000        -448.041    
  0.90000        -449.561    
  0.91000        -448.460    
  0.92000        -445.786    
  0.93000        -444.221    
  0.94000        -445.361    
  0.95000        -447.868    
  0.96000        -448.732    
  0.97000        -450.574    
  0.98000        -451.991    
  0.99000        -454.064    
  0.99500        -455.730    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -456.184    
  0.99850        -455.770    
  0.99925        -452.893    
   1.0000        -450.222    
