
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -21.1135    
  0.20000E-01    -42.2270    
  0.30000E-01    -63.3404    
  0.40000E-01    -84.4539    
  0.50000E-01    -105.567    
  0.60000E-01    -126.681    
  0.70000E-01    -147.794    
  0.80000E-01    -168.908    
  0.90000E-01    -190.021    
  0.10000        -211.135    
  0.11000        -232.248    
  0.12000        -253.362    
  0.13000        -274.471    
  0.14000        -295.545    
  0.15000        -316.573    
  0.16000        -337.561    
  0.17000        -357.763    
  0.18000        -377.447    
  0.19000        -396.177    
  0.20000        -414.387    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -432.469    
  0.22000        -450.219    
  0.23000        -467.637    
  0.24000        -484.537    
  0.25000        -500.999    
  0.26000        -517.026    
  0.27000        -532.828    
  0.28000        -548.319    
  0.29000        -563.303    
  0.30000        -577.908    
  0.31000        -592.272    
  0.32000        -605.892    
  0.33000        -619.192    
  0.34000        -631.392    
  0.35000        -642.306    
  0.36000        -649.536    
  0.37000        -651.703    
  0.38000        -651.934    
  0.39000        -653.161    
  0.40000        -653.169    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -651.394    
  0.42000        -652.002    
  0.43000        -653.625    
  0.44000        -654.968    
  0.45000        -655.869    
  0.46000        -657.652    
  0.47000        -659.717    
  0.48000        -661.231    
  0.49000        -663.366    
  0.50000        -664.297    
  0.51000        -664.501    
  0.52000        -664.116    
  0.53000        -664.003    
  0.54000        -663.537    
  0.55000        -663.468    
  0.56000        -665.019    
  0.57000        -668.113    
  0.58000        -671.675    
  0.59000        -676.073    
  0.60000        -679.995    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -684.703    
  0.62000        -690.063    
  0.63000        -695.957    
  0.64000        -702.159    
  0.65000        -708.712    
  0.66000        -715.751    
  0.67000        -722.473    
  0.68000        -729.249    
  0.69000        -736.103    
  0.70000        -743.068    
  0.71000        -750.374    
  0.72000        -757.325    
  0.73000        -764.453    
  0.74000        -771.330    
  0.75000        -778.477    
  0.76000        -785.645    
  0.77000        -792.960    
  0.78000        -800.334    
  0.79000        -807.719    
  0.80000        -814.904    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -822.120    
  0.82000        -829.520    
  0.83000        -837.068    
  0.84000        -844.719    
  0.85000        -852.413    
  0.86000        -860.163    
  0.87000        -868.054    
  0.88000        -875.889    
  0.89000        -884.098    
  0.90000        -892.273    
  0.91000        -900.549    
  0.92000        -908.694    
  0.93000        -916.904    
  0.94000        -925.012    
  0.95000        -933.230    
  0.96000        -941.378    
  0.97000        -948.851    
  0.98000        -934.757    
  0.99000        -740.963    
  0.99500        -595.085    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -459.387    
  0.99850        -353.129    
  0.99925        -175.168    
   1.0000        -155.697    
