
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.30000E-01    -66.3887    
  0.60000E-01    -132.777    
  0.90000E-01    -199.166    
  0.12000        -265.555    
  0.15000        -331.944    
  0.18000        -398.332    
  0.21000        -464.284    
  0.24000        -529.113    
  0.27000        -591.792    
  0.30000        -654.307    
  0.33000        -716.166    
  0.36000        -767.225    
  0.39000        -795.994    
  0.42000        -813.837    
  0.45000        -831.075    
  0.48000        -857.902    
  0.51000        -894.446    
  0.54000        -931.062    
  0.57000        -950.693    
  0.60000        -919.786    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.63000        -843.162    
  0.66000        -651.169    
  0.69000        -471.422    
  0.72000        -339.015    
  0.75000        -269.039    
  0.78000        -207.217    
  0.81000        -179.287    
  0.84000        -163.970    
  0.87000        -158.856    
  0.90000        -156.514    
  0.93000        -156.891    
  0.96000        -158.654    
  0.99000        -160.720    
   1.0200        -162.744    
   1.0500        -163.857    
   1.0800        -164.729    
   1.1100        -166.700    
   1.1400        -169.148    
   1.1700        -171.787    
   1.2000        -174.112    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.2300        -175.836    
   1.2600        -177.119    
   1.2900        -178.439    
   1.3200        -180.012    
   1.3500        -181.955    
   1.3800        -184.321    
   1.4100        -186.270    
   1.4400        -188.470    
   1.4700        -189.798    
   1.5000        -190.269    
   1.5300        -189.901    
   1.5600        -191.161    
   1.5900        -192.825    
   1.6200        -193.876    
   1.6500        -194.745    
   1.6800        -195.036    
   1.7100        -194.125    
   1.7400        -193.112    
   1.7700        -181.012    
   1.8000        -171.437    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   1.8300        -163.852    
   1.8600        -152.637    
   1.8900        -135.593    
   1.9200        -127.500    
   1.9500        -106.695    
   1.9800        -95.9865    
   2.0100        -91.3150    
   2.0400        -92.3195    
   2.0700        -93.4794    
   2.1000        -94.5453    
   2.1300        -95.6588    
   2.1600        -96.8672    
   2.1900        -98.0981    
   2.2200        -99.3608    
   2.2500        -100.659    
   2.2800        -101.931    
   2.3100        -103.204    
   2.3400        -104.435    
   2.3700        -105.612    
   2.4000        -106.802    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   2.4300        -107.955    
   2.4600        -109.082    
   2.4900        -110.028    
   2.5200        -110.750    
   2.5500        -111.282    
   2.5800        -111.355    
   2.6100        -111.609    
   2.6400        -112.273    
   2.6700        -109.504    
   2.7000        -103.628    
   2.7300        -103.090    
   2.7600        -103.807    
   2.7900        -104.481    
   2.8200        -105.259    
   2.8500        -106.144    
   2.8800        -107.161    
   2.9100        -108.145    
   2.9400        -107.349    
   2.9700        -108.291    
   2.9850        -108.801    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
   2.9925        -109.038    
   2.9955        -109.111    
   2.9977        -109.095    
   3.0000        -109.144    
