
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -25.1565    
  0.20000E-01    -29.4660    
  0.30000E-01    -44.1989    
  0.40000E-01    -58.9319    
  0.50000E-01    -73.6649    
  0.60000E-01    -88.3979    
  0.70000E-01    -103.131    
  0.80000E-01    -117.864    
  0.90000E-01    -132.597    
  0.10000        -147.330    
  0.11000        -162.063    
  0.12000        -176.796    
  0.13000        -191.529    
  0.14000        -206.262    
  0.15000        -220.995    
  0.16000        -235.728    
  0.17000        -250.461    
  0.18000        -265.194    
  0.19000        -279.927    
  0.20000        -294.660    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -309.393    
  0.22000        -324.125    
  0.23000        -338.858    
  0.24000        -353.591    
  0.25000        -368.324    
  0.26000        -383.057    
  0.27000        -397.790    
  0.28000        -412.523    
  0.29000        -427.256    
  0.30000        -441.989    
  0.31000        -456.722    
  0.32000        -471.455    
  0.33000        -486.188    
  0.34000        -500.921    
  0.35000        -515.654    
  0.36000        -530.387    
  0.37000        -545.120    
  0.38000        -559.853    
  0.39000        -574.586    
  0.40000        -589.319    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -604.052    
  0.42000        -618.785    
  0.43000        -633.518    
  0.44000        -648.251    
  0.45000        -662.984    
  0.46000        -677.717    
  0.47000        -692.450    
  0.48000        -707.183    
  0.49000        -721.916    
  0.50000        -736.649    
  0.51000        -751.382    
  0.52000        -766.115    
  0.53000        -780.848    
  0.54000        -795.581    
  0.55000        -810.314    
  0.56000        -825.047    
  0.57000        -839.780    
  0.58000        -854.513    
  0.59000        -869.246    
  0.60000        -883.979    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -898.712    
  0.62000        -913.445    
  0.63000        -928.178    
  0.64000        -942.911    
  0.65000        -957.643    
  0.66000        -972.376    
  0.67000        -987.109    
  0.68000        -1001.84    
  0.69000        -1016.58    
  0.70000        -1031.31    
  0.71000        -1046.04    
  0.72000        -1060.77    
  0.73000        -1075.51    
  0.74000        -1090.24    
  0.75000        -1104.97    
  0.76000        -1119.71    
  0.77000        -1134.44    
  0.78000        -1149.17    
  0.79000        -1163.91    
  0.80000        -1178.64    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -1193.37    
  0.82000        -1208.10    
  0.83000        -1222.84    
  0.84000        -1237.57    
  0.85000        -1252.30    
  0.86000        -1267.04    
  0.87000        -1281.77    
  0.88000        -1296.50    
  0.89000        -1311.23    
  0.90000        -1325.97    
  0.91000        -1340.70    
  0.92000        -1355.43    
  0.93000        -1370.17    
  0.94000        -1384.90    
  0.95000        -1399.63    
  0.96000        -1414.37    
  0.97000        -1429.10    
  0.98000        -1443.83    
  0.99000        -1458.56    
   1.0000        -1473.30    
