
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -26.5563    
  0.20000E-01    -32.0476    
  0.30000E-01    -48.0714    
  0.40000E-01    -64.0952    
  0.50000E-01    -80.1190    
  0.60000E-01    -96.1428    
  0.70000E-01    -112.167    
  0.80000E-01    -128.190    
  0.90000E-01    -144.214    
  0.10000        -160.238    
  0.11000        -176.262    
  0.12000        -192.286    
  0.13000        -208.309    
  0.14000        -224.333    
  0.15000        -240.357    
  0.16000        -256.381    
  0.17000        -272.405    
  0.18000        -288.429    
  0.19000        -304.452    
  0.20000        -320.476    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -336.500    
  0.22000        -352.524    
  0.23000        -368.548    
  0.24000        -384.571    
  0.25000        -400.595    
  0.26000        -416.619    
  0.27000        -432.643    
  0.28000        -448.667    
  0.29000        -464.690    
  0.30000        -480.714    
  0.31000        -496.738    
  0.32000        -512.762    
  0.33000        -528.786    
  0.34000        -544.809    
  0.35000        -560.833    
  0.36000        -576.857    
  0.37000        -592.881    
  0.38000        -608.905    
  0.39000        -624.928    
  0.40000        -640.952    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -656.976    
  0.42000        -673.000    
  0.43000        -689.024    
  0.44000        -705.048    
  0.45000        -721.071    
  0.46000        -737.095    
  0.47000        -753.119    
  0.48000        -769.143    
  0.49000        -785.167    
  0.50000        -801.190    
  0.51000        -817.214    
  0.52000        -833.238    
  0.53000        -849.262    
  0.54000        -865.286    
  0.55000        -881.309    
  0.56000        -897.333    
  0.57000        -913.357    
  0.58000        -929.381    
  0.59000        -945.405    
  0.60000        -961.428    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -977.452    
  0.62000        -993.476    
  0.63000        -1009.50    
  0.64000        -1025.52    
  0.65000        -1041.55    
  0.66000        -1057.57    
  0.67000        -1073.60    
  0.68000        -1089.62    
  0.69000        -1105.64    
  0.70000        -1121.67    
  0.71000        -1137.69    
  0.72000        -1153.71    
  0.73000        -1169.74    
  0.74000        -1185.76    
  0.75000        -1201.79    
  0.76000        -1217.81    
  0.77000        -1233.83    
  0.78000        -1249.86    
  0.79000        -1265.88    
  0.80000        -1281.90    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -1297.93    
  0.82000        -1313.95    
  0.83000        -1329.98    
  0.84000        -1346.00    
  0.85000        -1362.02    
  0.86000        -1378.05    
  0.87000        -1394.07    
  0.88000        -1410.10    
  0.89000        -1426.12    
  0.90000        -1442.14    
  0.91000        -1458.17    
  0.92000        -1474.19    
  0.93000        -1490.21    
  0.94000        -1506.24    
  0.95000        -1522.26    
  0.96000        -1538.29    
  0.97000        -1554.31    
  0.98000        -1570.33    
  0.99000        -1586.36    
   1.0000        -1602.38    
