
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -37.4270    
  0.20000E-01    -74.8541    
  0.30000E-01    -112.281    
  0.40000E-01    -149.708    
  0.50000E-01    -187.135    
  0.60000E-01    -224.562    
  0.70000E-01    -261.989    
  0.80000E-01    -299.416    
  0.90000E-01    -336.843    
  0.10000        -374.270    
  0.11000        -411.697    
  0.12000        -449.125    
  0.13000        -486.552    
  0.14000        -523.979    
  0.15000        -561.406    
  0.16000        -598.833    
  0.17000        -636.260    
  0.18000        -673.687    
  0.19000        -711.114    
  0.20000        -748.541    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -785.968    
  0.22000        -823.395    
  0.23000        -860.822    
  0.24000        -898.249    
  0.25000        -935.676    
  0.26000        -973.103    
  0.27000        -1010.53    
  0.28000        -1047.96    
  0.29000        -1085.38    
  0.30000        -1122.81    
  0.31000        -1160.24    
  0.32000        -1197.67    
  0.33000        -1235.09    
  0.34000        -1272.52    
  0.35000        -1309.95    
  0.36000        -1347.37    
  0.37000        -1384.80    
  0.38000        -1422.23    
  0.39000        -1459.65    
  0.40000        -1497.08    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -1534.51    
  0.42000        -1571.94    
  0.43000        -1609.36    
  0.44000        -1646.79    
  0.45000        -1684.22    
  0.46000        -1721.64    
  0.47000        -1759.07    
  0.48000        -1796.50    
  0.49000        -1833.93    
  0.50000        -1871.35    
  0.51000        -1908.78    
  0.52000        -1946.21    
  0.53000        -1983.63    
  0.54000        -2021.06    
  0.55000        -2058.49    
  0.56000        -2095.91    
  0.57000        -2133.34    
  0.58000        -2170.77    
  0.59000        -2208.20    
  0.60000        -2245.62    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -2283.05    
  0.62000        -2320.48    
  0.63000        -2357.90    
  0.64000        -2395.33    
  0.65000        -2432.76    
  0.66000        -2470.13    
  0.67000        -2507.50    
  0.68000        -2544.93    
  0.69000        -2582.31    
  0.70000        -2619.54    
  0.71000        -2656.83    
  0.72000        -2693.91    
  0.73000        -2731.05    
  0.74000        -2768.30    
  0.75000        -2805.42    
  0.76000        -2842.83    
  0.77000        -2880.24    
  0.78000        -2917.54    
  0.79000        -2954.94    
  0.80000        -2992.23    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -3029.63    
  0.82000        -3066.78    
  0.83000        -3104.18    
  0.84000        -3141.49    
  0.85000        -3178.69    
  0.86000        -3216.09    
  0.87000        -3253.34    
  0.88000        -3290.50    
  0.89000        -3327.61    
  0.90000        -3364.69    
  0.91000        -3401.74    
  0.92000        -3438.24    
  0.93000        -3475.08    
  0.94000        -3512.11    
  0.95000        -3549.20    
  0.96000        -3586.21    
  0.97000        -3623.42    
  0.98000        -3660.64    
  0.99000        -3697.99    
   1.0000        -3735.34    
