
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -24.8381    
  0.20000E-01    -49.6761    
  0.30000E-01    -74.5142    
  0.40000E-01    -99.3523    
  0.50000E-01    -124.169    
  0.60000E-01    -148.984    
  0.70000E-01    -173.798    
  0.80000E-01    -198.617    
  0.90000E-01    -223.429    
  0.10000        -248.196    
  0.11000        -272.924    
  0.12000        -297.579    
  0.13000        -322.144    
  0.14000        -346.690    
  0.15000        -371.075    
  0.16000        -394.935    
  0.17000        -418.175    
  0.18000        -440.631    
  0.19000        -462.896    
  0.20000        -484.744    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -505.493    
  0.22000        -524.066    
  0.23000        -540.092    
  0.24000        -557.110    
  0.25000        -573.563    
  0.26000        -588.328    
  0.27000        -604.550    
  0.28000        -619.764    
  0.29000        -634.221    
  0.30000        -647.657    
  0.31000        -652.767    
  0.32000        -643.711    
  0.33000        -628.493    
  0.34000        -617.240    
  0.35000        -605.938    
  0.36000        -594.860    
  0.37000        -591.834    
  0.38000        -593.062    
  0.39000        -595.532    
  0.40000        -601.655    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -609.904    
  0.42000        -616.021    
  0.43000        -620.790    
  0.44000        -627.309    
  0.45000        -634.360    
  0.46000        -639.071    
  0.47000        -641.532    
  0.48000        -643.741    
  0.49000        -647.856    
  0.50000        -653.997    
  0.51000        -659.580    
  0.52000        -665.240    
  0.53000        -670.928    
  0.54000        -676.984    
  0.55000        -683.486    
  0.56000        -688.823    
  0.57000        -692.793    
  0.58000        -698.683    
  0.59000        -703.631    
  0.60000        -708.412    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -713.923    
  0.62000        -720.854    
  0.63000        -728.288    
  0.64000        -734.946    
  0.65000        -742.319    
  0.66000        -748.644    
  0.67000        -754.834    
  0.68000        -760.566    
  0.69000        -766.711    
  0.70000        -772.963    
  0.71000        -779.132    
  0.72000        -784.574    
  0.73000        -790.707    
  0.74000        -797.272    
  0.75000        -803.980    
  0.76000        -811.197    
  0.77000        -818.393    
  0.78000        -824.917    
  0.79000        -832.598    
  0.80000        -840.493    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -848.200    
  0.82000        -856.641    
  0.83000        -864.948    
  0.84000        -874.482    
  0.85000        -883.498    
  0.86000        -892.520    
  0.87000        -901.255    
  0.88000        -909.617    
  0.89000        -911.040    
  0.90000        -881.051    
  0.91000        -764.717    
  0.92000        -697.205    
  0.93000        -668.655    
  0.94000        -558.893    
  0.95000        -405.078    
  0.96000        -372.031    
  0.97000        -362.184    
  0.98000        -354.732    
  0.99000        -332.678    
  0.99500        -325.996    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -318.151    
  0.99850        -309.046    
  0.99925        -273.157    
   1.0000        -247.783    
