
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.10000E-01    -23.6695    
  0.20000E-01    -23.6108    
  0.30000E-01    -35.4162    
  0.40000E-01    -47.2216    
  0.50000E-01    -59.0270    
  0.60000E-01    -70.8324    
  0.70000E-01    -82.6378    
  0.80000E-01    -94.4433    
  0.90000E-01    -106.249    
  0.10000        -118.054    
  0.11000        -129.859    
  0.12000        -141.665    
  0.13000        -153.470    
  0.14000        -165.276    
  0.15000        -177.081    
  0.16000        -188.887    
  0.17000        -200.692    
  0.18000        -212.497    
  0.19000        -224.303    
  0.20000        -236.108    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.21000        -247.914    
  0.22000        -259.719    
  0.23000        -271.524    
  0.24000        -283.330    
  0.25000        -295.135    
  0.26000        -306.941    
  0.27000        -318.746    
  0.28000        -330.551    
  0.29000        -342.357    
  0.30000        -354.162    
  0.31000        -365.968    
  0.32000        -377.773    
  0.33000        -389.578    
  0.34000        -401.384    
  0.35000        -413.189    
  0.36000        -424.995    
  0.37000        -436.800    
  0.38000        -448.605    
  0.39000        -460.411    
  0.40000        -472.216    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.41000        -484.022    
  0.42000        -495.827    
  0.43000        -507.632    
  0.44000        -519.438    
  0.45000        -531.243    
  0.46000        -543.049    
  0.47000        -554.854    
  0.48000        -566.660    
  0.49000        -578.465    
  0.50000        -590.270    
  0.51000        -602.076    
  0.52000        -613.881    
  0.53000        -625.687    
  0.54000        -637.492    
  0.55000        -649.297    
  0.56000        -661.103    
  0.57000        -672.908    
  0.58000        -684.714    
  0.59000        -696.519    
  0.60000        -708.324    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.61000        -720.130    
  0.62000        -731.935    
  0.63000        -743.741    
  0.64000        -755.546    
  0.65000        -767.351    
  0.66000        -779.157    
  0.67000        -790.962    
  0.68000        -802.768    
  0.69000        -814.573    
  0.70000        -826.378    
  0.71000        -838.184    
  0.72000        -849.989    
  0.73000        -861.795    
  0.74000        -873.600    
  0.75000        -885.406    
  0.76000        -897.211    
  0.77000        -909.016    
  0.78000        -920.822    
  0.79000        -932.627    
  0.80000        -944.433    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          1 FX      
                  FX      
  0.81000        -956.238    
  0.82000        -968.043    
  0.83000        -979.849    
  0.84000        -991.654    
  0.85000        -1003.46    
  0.86000        -1015.26    
  0.87000        -1027.07    
  0.88000        -1038.88    
  0.89000        -1050.68    
  0.90000        -1062.49    
  0.91000        -1074.29    
  0.92000        -1086.10    
  0.93000        -1097.90    
  0.94000        -1109.71    
  0.95000        -1121.51    
  0.96000        -1133.32    
  0.97000        -1145.12    
  0.98000        -1156.93    
  0.99000        -1168.74    
   1.0000        -1180.54    
