
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -28.4620    
  0.20000E-01    -56.9241    
  0.30000E-01    -85.3861    
  0.40000E-01    -113.848    
  0.50000E-01    -142.310    
  0.60000E-01    -170.772    
  0.70000E-01    -199.216    
  0.80000E-01    -227.658    
  0.90000E-01    -256.081    
  0.10000        -284.457    
  0.11000        -312.661    
  0.12000        -340.614    
  0.13000        -368.225    
  0.14000        -395.362    
  0.15000        -422.324    
  0.16000        -448.877    
  0.17000        -474.560    
  0.18000        -499.336    
  0.19000        -523.347    
  0.20000        -546.574    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -568.341    
  0.22000        -588.246    
  0.23000        -608.311    
  0.24000        -627.643    
  0.25000        -646.826    
  0.26000        -665.141    
  0.27000        -679.919    
  0.28000        -682.841    
  0.29000        -670.116    
  0.30000        -645.647    
  0.31000        -623.898    
  0.32000        -607.007    
  0.33000        -601.826    
  0.34000        -601.579    
  0.35000        -605.621    
  0.36000        -612.289    
  0.37000        -618.297    
  0.38000        -626.617    
  0.39000        -637.346    
  0.40000        -647.170    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -656.072    
  0.42000        -666.471    
  0.43000        -676.928    
  0.44000        -686.255    
  0.45000        -692.743    
  0.46000        -699.622    
  0.47000        -709.304    
  0.48000        -719.129    
  0.49000        -727.540    
  0.50000        -737.128    
  0.51000        -747.033    
  0.52000        -756.233    
  0.53000        -765.034    
  0.54000        -773.415    
  0.55000        -781.176    
  0.56000        -789.281    
  0.57000        -799.094    
  0.58000        -809.264    
  0.59000        -819.214    
  0.60000        -828.785    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -838.118    
  0.62000        -848.470    
  0.63000        -857.751    
  0.64000        -867.718    
  0.65000        -877.811    
  0.66000        -888.124    
  0.67000        -897.856    
  0.68000        -906.604    
  0.69000        -916.768    
  0.70000        -926.878    
  0.71000        -936.299    
  0.72000        -945.823    
  0.73000        -953.972    
  0.74000        -963.209    
  0.75000        -972.187    
  0.76000        -981.823    
  0.77000        -991.120    
  0.78000        -1000.84    
  0.79000        -1010.29    
  0.80000        -1020.17    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -1030.58    
  0.82000        -1041.87    
  0.83000        -1053.62    
  0.84000        -1065.31    
  0.85000        -1077.22    
  0.86000        -1089.00    
  0.87000        -1100.77    
  0.88000        -1112.60    
  0.89000        -1123.54    
  0.90000        -1135.33    
  0.91000        -1146.65    
  0.92000        -1157.99    
  0.93000        -1169.33    
  0.94000        -1180.15    
  0.95000        -1187.82    
  0.96000        -1139.79    
  0.97000        -790.079    
  0.98000        -507.767    
  0.99000        -387.880    
  0.99500        -383.373    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99725        -378.679    
  0.99863        -365.703    
  0.99963        -365.190    
   1.0000        -361.311    
