
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -26.4609    
  0.20000E-01    -52.9217    
  0.30000E-01    -79.3826    
  0.40000E-01    -105.843    
  0.50000E-01    -132.304    
  0.60000E-01    -158.765    
  0.70000E-01    -185.222    
  0.80000E-01    -211.660    
  0.90000E-01    -238.108    
  0.10000        -264.540    
  0.11000        -290.938    
  0.12000        -317.302    
  0.13000        -343.538    
  0.14000        -369.761    
  0.15000        -395.782    
  0.16000        -421.501    
  0.17000        -447.068    
  0.18000        -472.011    
  0.19000        -496.055    
  0.20000        -519.347    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -542.849    
  0.22000        -565.459    
  0.23000        -586.487    
  0.24000        -607.790    
  0.25000        -628.469    
  0.26000        -649.385    
  0.27000        -669.422    
  0.28000        -688.827    
  0.29000        -706.430    
  0.30000        -714.581    
  0.31000        -707.968    
  0.32000        -691.035    
  0.33000        -675.183    
  0.34000        -659.737    
  0.35000        -648.725    
  0.36000        -644.248    
  0.37000        -648.290    
  0.38000        -653.911    
  0.39000        -658.901    
  0.40000        -667.430    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -675.290    
  0.42000        -682.408    
  0.43000        -690.438    
  0.44000        -697.647    
  0.45000        -705.430    
  0.46000        -714.336    
  0.47000        -722.373    
  0.48000        -731.517    
  0.49000        -740.470    
  0.50000        -750.325    
  0.51000        -758.832    
  0.52000        -766.910    
  0.53000        -776.853    
  0.54000        -785.841    
  0.55000        -795.035    
  0.56000        -804.777    
  0.57000        -813.630    
  0.58000        -823.813    
  0.59000        -833.779    
  0.60000        -843.926    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -854.360    
  0.62000        -864.470    
  0.63000        -874.284    
  0.64000        -884.362    
  0.65000        -893.914    
  0.66000        -903.189    
  0.67000        -913.629    
  0.68000        -924.219    
  0.69000        -934.142    
  0.70000        -943.207    
  0.71000        -950.771    
  0.72000        -957.183    
  0.73000        -964.264    
  0.74000        -972.024    
  0.75000        -980.306    
  0.76000        -989.716    
  0.77000        -999.425    
  0.78000        -1010.09    
  0.79000        -1020.20    
  0.80000        -1030.25    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -1040.19    
  0.82000        -1050.78    
  0.83000        -1061.56    
  0.84000        -1072.54    
  0.85000        -1083.64    
  0.86000        -1095.19    
  0.87000        -1106.76    
  0.88000        -1117.46    
  0.89000        -1128.99    
  0.90000        -1140.77    
  0.91000        -1146.89    
  0.92000        -1156.16    
  0.93000        -1158.88    
  0.94000        -1114.94    
  0.95000        -860.391    
  0.96000        -612.358    
  0.97000        -523.899    
  0.98000        -493.377    
  0.99000        -485.144    
  0.99500        -482.864    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -478.717    
  0.99850        -472.998    
  0.99925        -451.931    
   1.0000        -439.391    
