
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.10000E-01    -25.0598    
  0.20000E-01    -50.1196    
  0.30000E-01    -75.1794    
  0.40000E-01    -100.239    
  0.50000E-01    -125.299    
  0.60000E-01    -150.359    
  0.70000E-01    -175.419    
  0.80000E-01    -200.478    
  0.90000E-01    -225.538    
  0.10000        -250.574    
  0.11000        -275.576    
  0.12000        -300.564    
  0.13000        -325.507    
  0.14000        -350.420    
  0.15000        -375.275    
  0.16000        -400.061    
  0.17000        -424.383    
  0.18000        -447.982    
  0.19000        -470.846    
  0.20000        -493.334    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.21000        -515.546    
  0.22000        -537.611    
  0.23000        -559.084    
  0.24000        -576.459    
  0.25000        -583.248    
  0.26000        -575.296    
  0.27000        -566.724    
  0.28000        -560.869    
  0.29000        -559.193    
  0.30000        -562.842    
  0.31000        -568.742    
  0.32000        -576.033    
  0.33000        -583.928    
  0.34000        -591.606    
  0.35000        -599.709    
  0.36000        -606.373    
  0.37000        -612.082    
  0.38000        -615.582    
  0.39000        -621.432    
  0.40000        -628.603    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.41000        -635.821    
  0.42000        -641.686    
  0.43000        -646.785    
  0.44000        -652.385    
  0.45000        -659.514    
  0.46000        -667.289    
  0.47000        -674.616    
  0.48000        -680.162    
  0.49000        -686.150    
  0.50000        -691.684    
  0.51000        -698.439    
  0.52000        -705.836    
  0.53000        -712.842    
  0.54000        -717.854    
  0.55000        -723.103    
  0.56000        -728.239    
  0.57000        -735.147    
  0.58000        -742.545    
  0.59000        -749.044    
  0.60000        -753.434    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.61000        -757.266    
  0.62000        -758.026    
  0.63000        -743.986    
  0.64000        -631.375    
  0.65000        -423.396    
  0.66000        -297.166    
  0.67000        -275.327    
  0.68000        -275.343    
  0.69000        -276.753    
  0.70000        -278.377    
  0.71000        -280.192    
  0.72000        -281.887    
  0.73000        -284.464    
  0.74000        -287.797    
  0.75000        -291.202    
  0.76000        -294.645    
  0.77000        -297.892    
  0.78000        -301.021    
  0.79000        -303.501    
  0.80000        -306.213    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.81000        -308.569    
  0.82000        -310.514    
  0.83000        -311.873    
  0.84000        -312.017    
  0.85000        -311.687    
  0.86000        -313.283    
  0.87000        -315.252    
  0.88000        -316.280    
  0.89000        -318.149    
  0.90000        -320.348    
  0.91000        -322.934    
  0.92000        -325.502    
  0.93000        -328.136    
  0.94000        -330.877    
  0.95000        -333.112    
  0.96000        -333.826    
  0.97000        -334.823    
  0.98000        -335.459    
  0.99000        -335.444    
  0.99500        -336.503    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1295 FX      
                  FX      
  0.99750        -336.564    
  0.99850        -335.884    
  0.99925        -329.154    
   1.0000        -325.931    
