
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -78.2837    
  0.20000E-01    -156.567    
  0.30000E-01    -234.851    
  0.40000E-01    -313.079    
  0.50000E-01    -391.245    
  0.60000E-01    -469.137    
  0.70000E-01    -545.535    
  0.80000E-01    -620.171    
  0.90000E-01    -693.150    
  0.10000        -763.160    
  0.11000        -829.900    
  0.12000        -895.066    
  0.13000        -957.920    
  0.14000        -1004.55    
  0.15000        -1036.31    
  0.16000        -1055.57    
  0.17000        -1061.20    
  0.18000        -1005.49    
  0.19000        -886.194    
  0.20000        -586.041    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -415.643    
  0.22000        -428.337    
  0.23000        -445.014    
  0.24000        -462.380    
  0.25000        -479.509    
  0.26000        -496.046    
  0.27000        -511.851    
  0.28000        -528.707    
  0.29000        -545.393    
  0.30000        -562.028    
  0.31000        -578.659    
  0.32000        -592.937    
  0.33000        -607.162    
  0.34000        -621.204    
  0.35000        -634.854    
  0.36000        -649.209    
  0.37000        -663.652    
  0.38000        -678.111    
  0.39000        -692.812    
  0.40000        -706.569    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -721.047    
  0.42000        -734.254    
  0.43000        -745.053    
  0.44000        -751.180    
  0.45000        -762.463    
  0.46000        -772.186    
  0.47000        -781.003    
  0.48000        -785.664    
  0.49000        -791.866    
  0.50000        -799.524    
  0.51000        -803.373    
  0.52000        -800.993    
  0.53000        -804.314    
  0.54000        -803.156    
  0.55000        -807.638    
  0.56000        -812.612    
  0.57000        -816.497    
  0.58000        -822.386    
  0.59000        -817.755    
  0.60000        -801.515    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -783.540    
  0.62000        -757.981    
  0.63000        -740.285    
  0.64000        -736.063    
  0.65000        -726.477    
  0.66000        -724.787    
  0.67000        -723.976    
  0.68000        -727.984    
  0.69000        -734.059    
  0.70000        -740.462    
  0.71000        -747.784    
  0.72000        -755.594    
  0.73000        -763.166    
  0.74000        -764.328    
  0.75000        -737.180    
  0.76000        -614.135    
  0.77000        -378.598    
  0.78000        -321.576    
  0.79000        -236.246    
  0.80000        -96.8469    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -74.6132    
  0.82000        -59.8628    
  0.83000        -55.1616    
  0.84000        -53.5375    
  0.85000        -53.8241    
  0.86000        -54.3056    
  0.87000        -54.8379    
  0.88000        -55.3991    
  0.89000        -55.9857    
  0.90000        -56.5670    
  0.91000        -57.1541    
  0.92000        -57.5593    
  0.93000        -57.8006    
  0.94000        -57.8262    
  0.95000        -58.4065    
  0.96000        -58.9913    
  0.97000        -59.4620    
  0.98000        -58.7863    
  0.99000        -57.8726    
  0.99500        -58.1058    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -58.1684    
  0.99850        -58.1173    
  0.99925        -56.6100    
   1.0000        -56.4329    
