
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -26.0946    
  0.20000E-01    -52.1891    
  0.30000E-01    -78.2837    
  0.40000E-01    -104.378    
  0.50000E-01    -130.473    
  0.60000E-01    -156.567    
  0.70000E-01    -182.662    
  0.80000E-01    -208.757    
  0.90000E-01    -234.846    
  0.10000        -260.879    
  0.11000        -286.904    
  0.12000        -312.885    
  0.13000        -338.845    
  0.14000        -364.743    
  0.15000        -390.566    
  0.16000        -416.046    
  0.17000        -440.516    
  0.18000        -464.473    
  0.19000        -487.975    
  0.20000        -511.218    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -534.005    
  0.22000        -556.842    
  0.23000        -579.011    
  0.24000        -601.213    
  0.25000        -622.805    
  0.26000        -644.141    
  0.27000        -664.963    
  0.28000        -685.424    
  0.29000        -705.519    
  0.30000        -723.583    
  0.31000        -735.349    
  0.32000        -727.599    
  0.33000        -697.959    
  0.34000        -671.138    
  0.35000        -659.319    
  0.36000        -654.783    
  0.37000        -654.818    
  0.38000        -656.958    
  0.39000        -660.960    
  0.40000        -667.227    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -674.966    
  0.42000        -683.292    
  0.43000        -690.462    
  0.44000        -698.202    
  0.45000        -706.209    
  0.46000        -711.645    
  0.47000        -714.609    
  0.48000        -710.081    
  0.49000        -677.404    
  0.50000        -571.816    
  0.51000        -482.897    
  0.52000        -387.967    
  0.53000        -381.748    
  0.54000        -385.664    
  0.55000        -390.535    
  0.56000        -395.898    
  0.57000        -401.674    
  0.58000        -408.043    
  0.59000        -414.715    
  0.60000        -421.403    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -427.840    
  0.62000        -434.491    
  0.63000        -441.352    
  0.64000        -448.228    
  0.65000        -454.952    
  0.66000        -461.228    
  0.67000        -467.681    
  0.68000        -474.444    
  0.69000        -481.058    
  0.70000        -487.397    
  0.71000        -494.100    
  0.72000        -500.807    
  0.73000        -507.388    
  0.74000        -513.829    
  0.75000        -520.142    
  0.76000        -526.455    
  0.77000        -532.160    
  0.78000        -537.669    
  0.79000        -543.641    
  0.80000        -549.290    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -555.606    
  0.82000        -562.029    
  0.83000        -568.223    
  0.84000        -574.159    
  0.85000        -580.111    
  0.86000        -586.596    
  0.87000        -593.134    
  0.88000        -599.710    
  0.89000        -606.258    
  0.90000        -610.315    
  0.91000        -616.180    
  0.92000        -621.963    
  0.93000        -627.785    
  0.94000        -633.521    
  0.95000        -639.708    
  0.96000        -645.827    
  0.97000        -651.725    
  0.98000        -657.510    
  0.99000        -663.211    
  0.99500        -666.100    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -667.281    
  0.99850        -667.413    
  0.99925        -666.156    
   1.0000        -665.293    
