
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.10000E-01    -22.1296    
  0.20000E-01    -44.2592    
  0.30000E-01    -66.3887    
  0.40000E-01    -88.5183    
  0.50000E-01    -110.648    
  0.60000E-01    -132.777    
  0.70000E-01    -154.907    
  0.80000E-01    -177.037    
  0.90000E-01    -199.166    
  0.10000        -221.296    
  0.11000        -243.425    
  0.12000        -265.555    
  0.13000        -287.676    
  0.14000        -309.779    
  0.15000        -331.835    
  0.16000        -353.807    
  0.17000        -375.041    
  0.18000        -395.938    
  0.19000        -415.708    
  0.20000        -434.835    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.21000        -453.890    
  0.22000        -472.289    
  0.23000        -490.639    
  0.24000        -508.693    
  0.25000        -525.926    
  0.26000        -542.866    
  0.27000        -559.427    
  0.28000        -575.652    
  0.29000        -591.456    
  0.30000        -606.812    
  0.31000        -621.433    
  0.32000        -635.542    
  0.33000        -649.256    
  0.34000        -662.206    
  0.35000        -670.973    
  0.36000        -670.942    
  0.37000        -670.129    
  0.38000        -668.249    
  0.39000        -667.792    
  0.40000        -668.270    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.41000        -669.685    
  0.42000        -671.727    
  0.43000        -674.278    
  0.44000        -677.732    
  0.45000        -681.460    
  0.46000        -685.495    
  0.47000        -689.839    
  0.48000        -694.514    
  0.49000        -698.047    
  0.50000        -700.936    
  0.51000        -700.392    
  0.52000        -701.834    
  0.53000        -703.320    
  0.54000        -703.791    
  0.55000        -705.484    
  0.56000        -707.426    
  0.57000        -710.484    
  0.58000        -712.761    
  0.59000        -714.451    
  0.60000        -717.124    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.61000        -719.784    
  0.62000        -722.449    
  0.63000        -724.448    
  0.64000        -726.290    
  0.65000        -729.680    
  0.66000        -733.378    
  0.67000        -737.370    
  0.68000        -742.009    
  0.69000        -747.392    
  0.70000        -753.247    
  0.71000        -759.161    
  0.72000        -765.130    
  0.73000        -771.762    
  0.74000        -778.741    
  0.75000        -785.983    
  0.76000        -793.320    
  0.77000        -800.641    
  0.78000        -808.102    
  0.79000        -815.630    
  0.80000        -823.552    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.81000        -831.366    
  0.82000        -839.381    
  0.83000        -847.206    
  0.84000        -855.127    
  0.85000        -863.231    
  0.86000        -871.185    
  0.87000        -879.360    
  0.88000        -887.550    
  0.89000        -895.786    
  0.90000        -904.036    
  0.91000        -912.241    
  0.92000        -920.432    
  0.93000        -928.653    
  0.94000        -936.852    
  0.95000        -944.614    
  0.96000        -951.984    
  0.97000        -958.987    
  0.98000        -960.816    
  0.99000        -894.316    
  0.99500        -807.299    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       1395 FX      
                  FX      
  0.99750        -697.092    
  0.99850        -587.794    
  0.99925        -295.643    
   1.0000        -241.583    
