STORAGE COMPLETE FOR    104 DATA POINTS

         SUMMARY OF VARIABLES STORED THIS STEP AND EXTREME VALUES
 VARI TYPE    IDENTIFIERS   NAME     MINIMUM    AT TIME    MAXIMUM   AT TIME

   2 RFOR   418 FX        FX         26.51     0.2000E-01  772.3     0.8200

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:56:44  SEP 29, 2021 CP=    961.812

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        418 FX
                  FX
  0.20000E-01     26.5148
  0.40000E-01     53.0297
  0.60000E-01     79.5445
  0.80000E-01     106.059
  0.10000         132.574
  0.12000         159.089
  0.14000         185.604
  0.16000         212.094
  0.18000         238.515
  0.20000         264.796
  0.22000         291.060
  0.24000         317.249
  0.26000         343.298
  0.28000         368.616
  0.30000         394.184
  0.32000         419.274
  0.34000         443.391
  0.36000         467.717
  0.38000         491.809
  0.40000         514.806
  0.42000         538.258
  0.44000         560.514
  0.46000         583.312
  0.48000         605.649
  0.50000         626.352
  0.52000         642.362
  0.54000         641.053
  0.56000         642.483
  0.58000         648.838
  0.60000         657.186
  0.62000         664.341
  0.64000         674.926
  0.66000         686.467
  0.68000         698.378
  0.70000         708.989
  0.72000         720.665
  0.74000         732.610
  0.76000         744.351
  0.78000         755.137
  0.80000         765.602
  0.82000         772.349
  0.84000         761.478
  0.86000         660.500
  0.88000         435.287
  0.90000         359.264
  0.92000         309.532
  0.94000         260.234
  0.96000         262.331
  0.98000         266.209
   1.0000         270.669

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:56:44  SEP 29, 2021 CP=    961.812

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        418 FX
                  FX
   1.0200         274.987
   1.0400         279.575
   1.0600         284.387
   1.0800         289.219
   1.1000         294.155
   1.1200         299.032
   1.1400         303.991
   1.1600         308.940
   1.1800         313.299
   1.2000         318.268
   1.2200         323.192
   1.2400         328.143
   1.2600         333.009
   1.2800         337.364
   1.3000         342.093
   1.3200         346.564
   1.3400         350.277
   1.3600         353.896
   1.3800         358.259
   1.4000         362.735
   1.4200         366.913
   1.4400         371.647
   1.4600         376.473
   1.4800         381.033
   1.5000         385.730
   1.5200         390.189
   1.5400         394.999
   1.5600         399.530
   1.5800         404.258
   1.6000         408.380
   1.6200         412.155
   1.6400         416.036
   1.6600         418.089
   1.6800         422.042
   1.7000         426.433
   1.7200         431.090
   1.7400         435.688
   1.7600         439.999
   1.7800         444.781
   1.8000         449.667
   1.8200         454.579
   1.8400         459.465
   1.8600         464.272
   1.8800         468.955
   1.9000         473.813
   1.9200         478.682
   1.9400         483.397
   1.9600         487.874
   1.9800         491.524
   1.9900         493.591

 *** ANSYS - ENGINEERING ANALYSIS SYSTEM  RELEASE Release 17.2     17.2     ***
 ANSYS Mechanical Enterprise
 00654237  VERSION=WINDOWS x64   23:56:44  SEP 29, 2021 CP=    961.812

 TEST



          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        418 FX
                  FX
   1.9945         494.178
   1.9973         491.081
   1.9993         491.058
   2.0000         487.311
