本ディレクトリ内の記録

ファイル名    詳細
stress_strain_lap=20_210711.xlsx    CFRPの継ぎ手長さが20mmで，CFRPのメッシュを0.5mmと小さくした．
stress_strain_lap=10_high_mesh.xlsx    継ぎ手長さが10mmの，CFRP部のメッシュを細かく分割した．
stress_strain_CFRP1_sonshou.xlsx    CFRP1本．損傷モデル解析を行った．
stress_strain_lap=10_1.xlsx    CFRP2本継ぎ手長さが10，各損傷パラメータを入力して試験を行った．
stress_strain_CFRP1_1.xlsx    CFRP1本で，損傷モデルを追加して解析を行った結果．
stress_strain_CFRP2_lap=20_1.xlsx    継ぎ手長さが20mmで，損傷モデルを追加した．
stress_strain_lap=20_gap=10.xlsx    継ぎ手間の距離を10mmに設定して解析を行った．
stress_strain_lap=20_gap=05.xlsx    C間の距離が0.5mmの解析結果
stress_strain_lap=20_gap=05_p.xlsx    gap=0.5mmでポアソン比を修正して引張試験を行った．
stress_strain_lap=20_gap=2_2.xlsx    メッシュを細かく分割して解析を行なった
