
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
  0.15000E-01     10.9682    
  0.30000E-01     21.9364    
  0.45000E-01     32.9046    
  0.60000E-01     43.8728    
  0.75000E-01     54.8409    
  0.90000E-01     65.8091    
  0.10500         76.7773    
  0.12000         87.7455    
  0.13500         98.7137    
  0.15000         109.682    
  0.16500         120.650    
  0.18000         131.618    
  0.19500         142.586    
  0.21000         153.555    
  0.22500         164.523    
  0.24000         175.491    
  0.25500         186.459    
  0.27000         197.427    
  0.28500         208.396    
  0.30000         219.364    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
  0.31500         230.328    
  0.33000         241.277    
  0.34500         252.197    
  0.36000         263.077    
  0.37500         273.981    
  0.39000         284.835    
  0.40500         295.641    
  0.42000         306.422    
  0.43500         317.116    
  0.45000         327.825    
  0.46500         338.514    
  0.48000         349.178    
  0.49500         359.860    
  0.51000         370.341    
  0.52500         380.896    
  0.54000         390.917    
  0.55500         401.266    
  0.57000         411.308    
  0.58500         421.199    
  0.60000         431.307    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
  0.61500         441.034    
  0.63000         451.122    
  0.64500         461.213    
  0.66000         471.298    
  0.67500         481.158    
  0.69000         491.252    
  0.70500         501.084    
  0.72000         510.346    
  0.73500         519.752    
  0.75000         528.678    
  0.76500         538.069    
  0.78000         547.428    
  0.79500         556.536    
  0.81000         565.571    
  0.82500         574.918    
  0.84000         583.938    
  0.85500         592.924    
  0.87000         601.526    
  0.88500         610.164    
  0.90000         618.980    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
  0.91500         627.824    
  0.93000         636.828    
  0.94500         646.172    
  0.96000         655.897    
  0.97500         665.406    
  0.99000         675.042    
   1.0050         684.660    
   1.0200         694.321    
   1.0350         703.847    
   1.0500         713.533    
   1.0650         723.165    
   1.0800         732.749    
   1.0950         742.289    
   1.1100         751.882    
   1.1250         761.460    
   1.1400         771.150    
   1.1550         780.790    
   1.1700         790.379    
   1.1850         799.991    
   1.2000         809.582    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
   1.2150         819.215    
   1.2300         828.791    
   1.2450         838.503    
   1.2600         848.113    
   1.2750         857.842    
   1.2900         867.490    
   1.3050         877.238    
   1.3200         886.844    
   1.3350         896.455    
   1.3500         905.541    
   1.3650         913.209    
   1.3800         920.021    
   1.3950         924.769    
   1.4100         928.282    
   1.4250         931.860    
   1.4400         936.036    
   1.4550         939.035    
   1.4700         941.225    
   1.4850         942.935    
   1.4917         942.309    

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        143 FX      
                  FX      
   1.4959         932.621    
   1.4974         931.147    
   1.4987         925.573    
   1.5000         923.000    
